time="2021-11-25 12:59:14.089" level=info msg="max deal id last scanned:0" func=GetDealFromCalibration file="deal.go:27"
time="2021-11-25 12:59:14.090" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal" func=GetDealFromCalibration file="deal.go:29"
time="2021-11-25 12:59:15.583" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:08.988" level=info msg="max deal id last scanned:0" func=GetDealFromCalibration file="deal.go:27"
time="2021-11-25 13:00:08.989" level=info msg="https://calibration-api.filscout.com/api/v1/storagedeal" func=GetDealFromCalibration file="deal.go:29"
time="2021-11-25 13:00:10.237" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:10.238" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:10.541" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:10.542" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:10.849" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:10.850" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:11.157" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:11.159" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:11.374" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:11.375" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:11.590" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:11.591" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:11.874" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:11.874" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:12.182" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:12.183" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:12.488" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:12.489" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:12.795" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:12.796" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:13.013" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:13.013" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:13.230" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:13.231" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:13.511" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:13.512" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:13.817" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:13.818" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:14.125" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:14.126" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:15.054" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:15.055" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:15.291" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:15.292" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:15.510" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:15.511" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:15.765" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:15.766" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:16.073" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:16.074" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:16.378" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:16.379" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:16.685" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:16.686" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:16.994" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:16.995" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:17.302" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:17.303" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:17.608" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:17.609" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:18.542" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:18.543" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:18.837" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:18.838" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
time="2021-11-25 13:00:19.144" level=info msg="{\"code\":404,\"message\":\"not found\",\"data\":null}" func=GetDealFromCalibration file="deal.go:39"
time="2021-11-25 13:00:19.145" level=info msg="404not found" func=GetDealFromCalibration file="deal.go:43"
